Name,Picture Name,RSWiki link,Attack Level,Ranged Level,Magic Level,Melee Accuracy,Ranged Accuracy,Magic Accuracy,Attacks,Defense Level,Armour,Melee Affinity,Ranged Affinity,Magic Affinity,Weak to Poision,Weak to Reflect,Weak to Stun,Weak to Drain,Affinity Weakness,Other Vulnerabilities,Natural Buffs
2,Abomination,,,,,,,,,,,,,,,,,,,,
Abomination,,https://runescape.wiki/w/Abomination#Normal,60,60,60,1102,1102,1102,Melee 1102,60,850,40,40,40,FALSE,FALSE,FALSE,FALSE,None,None,None
Ragged Abomination,,https://runescape.wiki/w/Abomination#Ragged,1,1,1,1132,1132,1132,Melee 1102,1,850,40,40,40,FALSE,FALSE,FALSE,FALSE,None,None,None
Ambassador,,https://runescape.wiki/w/The_Ambassador,85,85,85,2765,2765,2765,Ranged 2200;Melee 3300;Magic 10000;Soft_Typeless 9000 Frag_Nuke,75,1694,55,55,55,TRUE,TRUE,FALSE,TRUE,None,None,None
4,Araxxor,,,,,,,,,,,,,,,,,,,,
Araxxor (melee),,https://runescape.wiki/w/Araxxor#Melee,99,99,99,2458,2458,2458,Melee 1341;Soft_Typeless 32767 Nuke_Spider,85,2458,50,40,55,FALSE,FALSE,FALSE,FALSE,None,None,None
Araxxor (ranged),,https://runescape.wiki/w/Araxxor#Ranged,99,99,99,2458,2458,2458,Ranged 1341;Melee 1341;Soft_Typeless 32767 Nuke_Spider,85,2458,60,45,40,FALSE,FALSE,FALSE,FALSE,None,None,None
Araxxor (magic),,https://runescape.wiki/w/Araxxor#Magic,99,99,99,2458,2458,2458,Magic 1341;Melee 1341;Soft_Typeless 32767 Nuke_Spider,85,2458,50,55,45,FALSE,FALSE,FALSE,FALSE,None,Hexhunter,None
Araxxi,,https://runescape.wiki/w/Araxxi,99,99,99,1653,1653,1653,Magic 1653;Ranged 1653;Melee 1653,80,1924,60,55,45,FALSE,FALSE,FALSE,FALSE,None,Hexhunter,None
Astellarn,,https://runescape.wiki/w/Astellarn,95,95,95,2765,2765,2765,Magic 1368;Melee 1368,85,2178,55,55,55,TRUE,TRUE,TRUE,TRUE,None,Dragonbane Hexhunter Black_Mask,None
8,Barrows Brothers,,,,,,,,,,,,,,,,,,,,
Ahrim the Blighted,,https://runescape.wiki/w/Ahrim_the_Blighted#Normal,1,1,70,0,0,1566,Magic 1260,70,1299,45,65,55,TRUE,TRUE,TRUE,TRUE,Arrows 90,Hexhunter,None
Dharok the Wretched,,https://runescape.wiki/w/Dharok_the_Wretched#Normal,70,1,1,1566,0,0,Melee 1260,70,1299,55,45,65,TRUE,TRUE,TRUE,TRUE,Fire 90,None,None
Guthan the Infested,,https://runescape.wiki/w/Guthan_the_Infested#Normal,70,1,1,1566,0,0,Melee 1260,70,1299,55,45,65,TRUE,TRUE,TRUE,TRUE,Air 90,None,None
Karil the Tainted,,https://runescape.wiki/w/Karil_the_Tainted#Normal,1,70,1,0,1566,0,Ranged 1260,70,1299,65,55,45,TRUE,TRUE,TRUE,TRUE,Stab 90,None,None
Torag the Corrupted,,https://runescape.wiki/w/Torag_the_Corrupted#Normal,70,1,1,1566,0,0,Melee 1260,70,1299,55,45,65,TRUE,TRUE,TRUE,TRUE,Water 90,None,None
Verac the Defiled,,https://runescape.wiki/w/Verac_the_Defiled#Normal,70,1,1,1566,0,0,Melee 1260,70,1299,55,45,65,TRUE,TRUE,TRUE,TRUE,Earth 90,None,None
Akrisae the Doomed,,https://runescape.wiki/w/Akrisae_the_Doomed#Barrows,1,1,70,0,0,1486,Magic 2167,70,1486,45,65,55,TRUE,TRUE,TRUE,TRUE,Bolts 90,None,None
Linza the Disgraced,,https://runescape.wiki/w/Linza_the_Disgraced#Barrows,75,1,1,1694,0,0,Melee 1200,75,1694,55,45,65,TRUE,TRUE,TRUE,TRUE,Fire 90,None,None
Beastmaster Durzag,,https://runescape.wiki/w/Beastmaster_Durzag,85,85,85,2458,2458,2458,Melee 1788;Ranged 1788;Hard_Typeless 2000 Bomb,95,2458,55,55,55,FALSE,TRUE,FALSE,FALSE,None,None,None
Black Stone Dragon,,https://runescape.wiki/w/Black_stone_dragon,95,95,95,2765,2765,2765,Magic 3000;Melee 3500;Ranged 2000,85,2178,55,55,55,TRUE,TRUE,FALSE,TRUE,None,Dragonbane Black_Mask,None
Chaos Elemental,,https://runescape.wiki/w/Chaos_Elemental,1,1,69,1447,1447,2178,Magic 1104;Ranged 1104;Melee 1104,69,1447,45,65,55,TRUE,TRUE,FALSE,TRUE,Bolts 90,None,None
2,Commander Zilyana,,,,,,,,,,,,,,,,,,,,
Commander Zilyana,,https://runescape.wiki/w/Commander_Zilyana#Normal,75,1,75,2178,0,1694,Melee 1800;Magic 2200,75,1299,40,40,40,FALSE,FALSE,FALSE,TRUE,None,None,None
Commander Zilyana (hard mode),Commander Zilyana,https://runescape.wiki/w/Commander_Zilyana#Hard_Mode,75,1,75,1694,0,1694,Melee 1900;Magic 1990,75,1694,45,40,50,FALSE,FALSE,FALSE,TRUE,None,None,None
Corporeal Beast,,https://runescape.wiki/w/Corporeal_Beast,75,75,75,1694,1694,1694,Magic 4500;Melee 3000,75,1694,40,40,40,TRUE,TRUE,FALSE,TRUE,None,None,None
Crassian Leviathan,,https://runescape.wiki/w/Crassian_Leviathan,90,90,90,2765,2765,2765,Ranged 3000;Melee 3000,85,2178,55,55,55,TRUE,FALSE,FALSE,FALSE,None,None,None
3,Dagannoth Kings,,,,,,,,,,,,,,,,,,,,
Dagannoth Rex,,https://runescape.wiki/w/Dagannoth_Rex,68,1,1,1924,0,0,Melee 1788,68,1409,0,0,60,TRUE,TRUE,TRUE,TRUE,Fire 75,Black_Mask,None
Dagannoth Supreme,,https://runescape.wiki/w/Dagannoth_Supreme,1,68,1,0,1924,0,Ranged 1788,68,1409,60,0,0,TRUE,TRUE,FALSE,TRUE,Stab 75,Balmung Black_Mask,None
Dagannoth Prime,,https://runescape.wiki/w/Dagannoth_Prime,1,1,68,0,0,1924,Magic 1788,68,1409,0,60,0,TRUE,TRUE,FALSE,TRUE,Arrows 75,Hexhunter Black_Mask,None
Demon Flash Mob Boss,,https://runescape.wiki/w/Demon_boss,112,112,132,1120,0,1120,Melee 2250;Magic 2250,85,975,55,45,65,FALSE,TRUE,FALSE,TRUE,None,Black_Mask Silverlight,None
2,General Graardor,,,,,,,,,,,,,,,,,,,,
General Graardor,,https://runescape.wiki/w/General_Graardor#Normal,75,75,1,2178,1566,0,Melee 3000;Ranged 1676,75,1299,50,10,50,FALSE,FALSE,FALSE,FALSE,None,None,None
